地区,时间,新增人数,现有确诊人数,累计确诊,治愈人数,死亡人数
西藏,2022-03-14 00:00,0,0,1,1,0
澳门,2022-03-14 00:00,0,3,82,79,0
青海,2022-03-14 00:00,0,2,32,30,0
台湾,2022-03-14 00:00,114,6807,21402,13742,853
香港,2022-03-14 00:00,7500,234001,266887,28318,4568
贵州,2022-03-15 00:00,2,6,168,160,2
吉林,2022-03-15 00:00,938,7001,7593,589,3
新疆,2022-03-15 00:00,0,0,996,993,3
宁夏,2022-03-14 00:00,0,0,122,122,0
内蒙古,2022-03-14 00:00,0,45,1666,1620,1
甘肃,2022-03-14 00:00,7,190,560,368,2
天津,2022-03-15 00:00,53,269,1425,1153,3
山西,2022-03-15 00:00,0,23,295,272,0
辽宁,2022-03-15 00:00,34,172,1120,946,2
黑龙江,2022-03-15 00:00,15,61,2143,2069,13
海南,2022-03-14 00:00,0,3,193,184,6
河北,2022-03-15 00:00,38,233,1709,1469,7
陕西,2022-03-14 00:00,53,245,3071,2823,3
云南,2022-03-15 00:00,7,100,2020,1918,2
广西,2022-03-15 00:00,29,320,1321,999,2
福建,2022-03-14 00:00,88,174,1692,1517,1
上海,2022-03-15 00:00,15,653,4854,4194,7
北京,2022-03-15 00:00,12,191,1663,1463,9
江苏,2022-03-14 00:00,22,187,1949,1762,0
四川,2022-03-15 00:00,9,150,1581,1428,3
山东,2022-03-15 00:00,86,1110,2234,1117,7
江西,2022-03-14 00:00,0,0,959,958,1
重庆,2022-03-15 00:00,11,49,663,608,6
安徽,2022-03-15 00:00,2,11,1020,1003,6
湖南,2022-03-14 00:00,2,8,1239,1227,4
河南,2022-03-15 00:00,2,48,2713,2643,22
广东,2022-03-15 00:00,80,1760,6048,4280,8
浙江,2022-03-14 00:00,47,397,2457,2059,1
湖北,2022-03-14 00:00,1,38,68387,63837,4512
